Date,Open,High,Low,Close,Adj Close,Volume
2019-06-04,4.490000,4.500000,4.460000,4.490000,3.896475,20714700
2019-06-05,4.460000,4.480000,4.430000,4.450000,3.861762,14736600
2019-06-06,4.460000,4.480000,4.390000,4.440000,3.853084,17765200
2019-06-07,4.450000,4.470000,4.440000,4.440000,3.853084,9719600
2019-06-10,4.500000,4.540000,4.480000,4.490000,3.896475,5793700
2019-06-11,4.540000,4.540000,4.490000,4.510000,3.913831,8551000
2019-06-12,4.460000,4.480000,4.450000,4.450000,3.861762,5245300
2019-06-13,4.430000,4.460000,4.420000,4.440000,3.853084,6313800
2019-06-14,4.420000,4.420000,4.380000,4.400000,3.818371,4316500
2019-06-17,4.410000,4.440000,4.380000,4.380000,3.801015,3488000
2019-06-18,4.400000,4.460000,4.390000,4.420000,3.835728,6270700
2019-06-19,4.510000,4.530000,4.480000,4.480000,3.887796,6147000
2019-06-20,4.520000,4.540000,4.480000,4.520000,3.922508,8157900
2019-06-21,4.500000,4.520000,4.470000,4.490000,3.896475,19268300
2019-06-24,4.510000,4.540000,4.480000,4.480000,3.887796,6792300
2019-06-25,4.490000,4.510000,4.470000,4.480000,3.887796,6882400
2019-06-26,4.540000,4.570000,4.510000,4.540000,3.939865,7889100
2019-06-27,4.550000,4.570000,4.540000,4.550000,3.948543,6959000
2019-06-28,4.560000,4.600000,4.550000,4.580000,3.974578,5383000
2019-07-01,4.670000,4.680000,4.570000,4.580000,3.974578,6991800
2019-07-02,4.590000,4.610000,4.570000,4.580000,3.974578,6881600
2019-07-03,4.640000,4.670000,4.640000,4.650000,4.035325,6278100
2019-07-05,4.720000,4.740000,4.670000,4.690000,4.070037,8938800
2019-07-08,4.640000,4.670000,4.620000,4.620000,4.009289,7987900
2019-07-09,4.590000,4.620000,4.550000,4.580000,3.974578,8232600
2019-07-10,4.660000,4.690000,4.620000,4.630000,4.017969,12359300
2019-07-11,4.680000,4.720000,4.670000,4.700000,4.078715,8019600
2019-07-12,4.690000,4.700000,4.670000,4.670000,4.052680,3954700
2019-07-15,4.680000,4.680000,4.640000,4.640000,4.026646,8421000
2019-07-16,4.660000,4.700000,4.640000,4.650000,4.035325,9447200
2019-07-17,4.610000,4.610000,4.540000,4.550000,3.948543,8784400
2019-07-18,4.510000,4.540000,4.490000,4.500000,3.905153,11528900
2019-07-19,4.460000,4.460000,4.410000,4.430000,3.844406,13869800
2019-07-22,4.430000,4.440000,4.400000,4.410000,3.827049,8677200
2019-07-23,4.550000,4.580000,4.540000,4.540000,3.939865,14153000
2019-07-24,4.550000,4.580000,4.550000,4.570000,3.965899,8401900
2019-07-25,4.570000,4.580000,4.480000,4.500000,3.905153,6278500
2019-07-26,4.490000,4.500000,4.460000,4.460000,3.870440,8302900
2019-07-29,4.450000,4.460000,4.430000,4.430000,3.844406,10073500
2019-07-30,4.310000,4.320000,4.270000,4.280000,3.714235,9804200
2019-07-31,4.270000,4.280000,4.210000,4.240000,3.679521,10258000
2019-08-01,4.220000,4.250000,4.140000,4.170000,3.618775,14419200
2019-08-02,4.170000,4.170000,4.100000,4.140000,3.592741,9106500
2019-08-05,4.110000,4.120000,4.020000,4.060000,3.523315,10505600
2019-08-06,4.080000,4.090000,4.010000,4.050000,3.514637,12778700
2019-08-07,3.990000,4.020000,3.960000,4.000000,3.471247,14603300
2019-08-08,4.060000,4.100000,4.030000,4.060000,3.523315,16522700
2019-08-09,4.020000,4.040000,3.990000,4.020000,3.488603,12290000
2019-08-12,3.960000,3.970000,3.910000,3.910000,3.393144,10434500
2019-08-13,3.940000,4.020000,3.920000,3.970000,3.445212,34640400
2019-08-14,3.880000,3.880000,3.800000,3.800000,3.297684,50237500
2019-08-15,3.870000,3.890000,3.800000,3.820000,3.315040,9714800
2019-08-16,3.860000,3.950000,3.860000,3.930000,3.410500,9177000
2019-08-19,3.950000,3.950000,3.860000,3.880000,3.367109,8109500
2019-08-20,3.850000,3.870000,3.790000,3.790000,3.289006,14686200
2019-08-21,3.850000,3.860000,3.790000,3.790000,3.289006,8570800
2019-08-22,3.880000,3.900000,3.830000,3.860000,3.349753,11657400
2019-08-23,3.850000,3.880000,3.770000,3.770000,3.271650,15280600
2019-08-26,3.830000,3.850000,3.810000,3.830000,3.323719,16678100
2019-08-27,3.840000,3.850000,3.760000,3.780000,3.280328,14135400
2019-08-28,3.780000,3.800000,3.750000,3.750000,3.254294,18747100
2019-08-29,3.800000,3.800000,3.750000,3.780000,3.280328,33515500
2019-08-30,3.790000,3.800000,3.730000,3.750000,3.254294,10494000
2019-09-03,3.690000,3.720000,3.650000,3.670000,3.184869,20788100
2019-09-04,3.740000,3.760000,3.680000,3.720000,3.228260,22352500
2019-09-05,3.820000,3.860000,3.810000,3.840000,3.332397,17276800
2019-09-06,3.860000,3.870000,3.840000,3.870000,3.358431,9552100
